#Generation	Deleted programs	Maximum size	Minimum size	Average size	Maximum fitness	Minimum fitness	Average fitness	Best program
1	275	186	2	14.0276	0.449194	-4.02428	-0.723158	normal(-0.77)
2	20	186	2	13.7714	0.449194	-3.76137	-0.705764	normal(-0.77)
3	9	186	2	14.5772	0.449194	-2.84126	-0.444173	normal(-0.77)
4	11	186	2	14.7321	0.449194	-2.19411	-0.271697	normal(-0.77)
5	12	158	2	13.0607	0.449194	-3.29378	-0.163704	normal(-0.77)
6	13	94	2	11.2482	0.449194	-2.21773	-0.0944705	normal(-0.77)
7	24	86	2	9.77049	0.449194	-2.43269	-0.0559441	normal(-0.77)
8	4	110	2	7.71084	0.449194	-1.57706	-0.00838343	normal(-0.77)
9	3	110	2	5.53862	0.449194	-2.13171	0.00882161	normal(-0.77)
10	1	110	2	4.48248	0.449194	-0.763072	0.0222465	normal(-0.77)
11	1	110	2	4.65065	0.449194	-2.77306	0.023801	normal(-0.77)
12	4	110	2	4.71888	0.449194	-0.998246	0.0352281	normal(-0.77)
13	4	110	2	5.06426	0.459232	-1.99288	0.0449631	mix(0.0487,normal(-7.616),normal(-0.77))
14	2	110	2	5.51904	0.459232	-1.68787	0.0513772	mix(0.0487,normal(-7.616),normal(-0.77))
15	6	106	2	6.14487	0.459232	-1.63031	0.0686481	mix(0.0487,normal(-7.616),normal(-0.77))
16	8	106	2	6.83468	0.459232	-0.75155	0.0884945	mix(0.0487,normal(-7.616),normal(-0.77))
17	3	106	2	7.48445	0.459232	-1.68787	0.101213	mix(0.0487,normal(-7.616),normal(-0.77))
18	9	106	2	8.99092	0.459232	-1.88802	0.125718	mix(0.0487,normal(-7.616),normal(-0.77))
19	10	110	2	10.598	0.459232	-2.01903	0.143413	mix(0.0487,normal(-7.616),normal(-0.77))
20	10	110	2	11.5556	0.459232	-1.54038	0.177696	mix(0.0487,normal(-7.616),normal(-0.77))
21	13	110	2	11.9129	0.459232	-0.684745	0.211507	mix(0.0487,normal(-7.616),normal(-0.77))
22	16	110	2	12.5081	0.459232	-2.01903	0.230894	mix(0.0487,normal(-7.616),normal(-0.77))
23	10	110	2	13.2242	0.459232	-1.54038	0.255666	mix(0.0487,normal(-7.616),normal(-0.77))
24	7	110	2	14.8741	0.459232	-1.73717	0.2719	mix(0.0487,normal(-7.616),normal(-0.77))
25	5	146	2	15.6322	0.459232	-1.54038	0.282469	mix(0.0487,normal(-7.616),normal(-0.77))
26	11	110	2	14.2386	0.459219	-1.99902	0.307782	mix(0.0487,mix(0.6008,normal(6.514),normal(-0.77)),normal(-0.77))
27	5	106	2	10.2814	0.465564	-1.14161	0.333636	mix(0.6991,normal(-0.928),normal(-0.464))
28	9	106	2	8.61958	0.475733	-0.884332	0.355675	mix(0.5911,mix(0.7683,normal(-0.928),normal(-2.032)),normal(-0.77))
29	1	106	2	7.1972	0.475733	-0.816763	0.367992	mix(0.5911,mix(0.7683,normal(-0.928),normal(-2.032)),normal(-0.77))
30	5	66	2	6.84422	0.475733	-1.91626	0.393501	mix(0.5911,mix(0.7683,normal(-0.928),normal(-2.032)),normal(-0.77))
31	7	66	2	6.8862	0.467595	-0.715331	0.405582	mix(0.4132,mix(0.1858,normal(-8.188),normal(-0.876)),normal(-0.722))
32	4	66	2	6.37751	0.470878	-0.589705	0.421919	mix(0.7683,normal(-0.75),mix(0.247,mix(0.4132,normal(-5.284),normal(-0.722)),normal(-0.928)))
33	6	62	2	4.99396	0.470878	-1.3431	0.428281	mix(0.7683,normal(-0.75),mix(0.247,mix(0.4132,normal(-5.284),normal(-0.722)),normal(-0.928)))
34	3	42	2	4.25075	0.477199	-1.3431	0.4341	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,mix(0.0096,normal(-0.722),normal(-9.916)),normal(-0.75))),mix(0.7683,normal(-0.928),normal(-0.722)))
35	1	42	2	4.46647	0.477199	-0.119543	0.434531	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,mix(0.0096,normal(-0.722),normal(-9.916)),normal(-0.75))),mix(0.7683,normal(-0.928),normal(-0.722)))
36	3	42	2	4.18255	0.477199	-0.833736	0.432168	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,mix(0.0096,normal(-0.722),normal(-9.916)),normal(-0.75))),mix(0.7683,normal(-0.928),normal(-0.722)))
37	1	42	2	3.78979	0.477199	-0.659823	0.435937	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,mix(0.0096,normal(-0.722),normal(-9.916)),normal(-0.75))),mix(0.7683,normal(-0.928),normal(-0.722)))
38	3	42	2	4.1665	0.472129	-1.69538	0.436633	mix(0.3257,normal(-0.75),mix(0.7683,normal(-0.928),mix(0.7883,mix(0.2963,normal(-5.662),normal(-7.16)),mix(0.6794,normal(7.358),mix(0.4963,gumbel(-8.338),gumbel(0.8))))))
39	4	42	2	4.50201	0.473425	-0.659823	0.434296	mix(0.6991,normal(-0.876),mix(0.6008,normal(-0.77),normal(-0.466)))
40	3	42	2	4.668	0.473425	-1.24242	0.437508	mix(0.6991,normal(-0.876),mix(0.6008,normal(-0.77),normal(-0.466)))
41	5	42	2	4.70553	0.473425	-1.24242	0.435019	mix(0.6991,normal(-0.876),mix(0.6008,normal(-0.77),normal(-0.466)))
42	7	42	2	4.98489	0.473425	-1.36807	0.433865	mix(0.6991,normal(-0.876),mix(0.6008,normal(-0.77),normal(-0.466)))
43	6	42	2	5.36419	0.475726	-0.634961	0.437048	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,mix(0.0096,normal(-0.722),normal(-9.916)),normal(-0.75))),mix(0.7683,normal(-0.928),normal(-0.77)))
44	2	42	2	5.85972	0.475726	-1.13836	0.434036	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,mix(0.0096,normal(-0.722),normal(-9.916)),normal(-0.75))),mix(0.7683,normal(-0.928),normal(-0.77)))
45	7	42	2	6.77341	0.476873	-1.75067	0.436052	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,normal(-0.722),normal(-0.75))),mix(0.7683,normal(-0.928),mix(0.7883,mix(0.2963,normal(-5.662),normal(-0.77)),mix(0.6794,normal(7.358),mix(0.4963,normal(-0.77),gumbel(0.8))))))
46	3	42	2	7.48445	0.476873	-1.79271	0.432248	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,normal(-0.722),normal(-0.75))),mix(0.7683,normal(-0.928),mix(0.7883,mix(0.2963,normal(-5.662),normal(-0.77)),mix(0.6794,normal(7.358),mix(0.4963,normal(-0.77),gumbel(0.8))))))
47	4	46	2	8.39759	0.476873	-1.78478	0.43493	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,normal(-0.722),normal(-0.75))),mix(0.7683,normal(-0.928),mix(0.7883,mix(0.2963,normal(-5.662),normal(-0.77)),mix(0.6794,normal(7.358),mix(0.4963,normal(-0.77),gumbel(0.8))))))
48	2	50	2	9.52705	0.476873	-1.47031	0.43286	mix(0.3257,mix(0.6008,mix(0.5972,normal(-0.75),normal(-0.464)),mix(0.2883,normal(-0.722),normal(-0.75))),mix(0.7683,normal(-0.928),mix(0.7883,mix(0.2963,normal(-5.662),normal(-0.77)),mix(0.6794,normal(7.358),mix(0.4963,normal(-0.77),gumbel(0.8))))))
