#Generation	Deleted programs	Maximum size	Minimum size	Average size	Maximum fitness	Minimum fitness	Average fitness	Best program
1	275	282	2	15.2855	0.520099	-0.550072	0.269165	mix(0.8468,normal(0.814),mix(0.3545,mix(0.7768,clayton(6.998),mix(0.3205,clayton(-0.03),frank(0.458))),normal(9.098)))
2	22	282	2	15.5215	0.520099	-0.165185	0.277582	mix(0.8468,normal(0.814),mix(0.3545,mix(0.7768,clayton(6.998),mix(0.3205,clayton(-0.03),frank(0.458))),normal(9.098)))
3	16	282	2	17.6016	0.520099	-0.00384851	0.335114	mix(0.8468,normal(0.814),mix(0.3545,mix(0.7768,clayton(6.998),mix(0.3205,clayton(-0.03),frank(0.458))),normal(9.098)))
4	19	282	2	19.2355	0.526096	-0.274525	0.379949	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
5	30	282	2	19.7608	0.526096	-0.0704647	0.406467	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
6	16	122	2	20.2683	0.526096	-0.00309733	0.422446	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
7	12	122	2	20.8502	0.526096	-0.345403	0.436391	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
8	19	122	2	22.3466	0.526096	-0.00309733	0.449212	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
9	18	158	2	23.0754	0.526096	-0.00309733	0.453495	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
10	17	162	2	25.0234	0.526096	-0.00309733	0.45969	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
11	18	162	2	27.5479	0.526096	-0.00486245	0.467487	mix(0.8468,normal(0.814),mix(0.3545,mix(0.0109,clayton(-6.862),gumbel(-7.376)),normal(9.098)))
12	13	162	2	30.8673	0.527324	-0.00309733	0.470461	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
13	13	162	2	33.9108	0.527324	-0.387282	0.474041	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
14	16	162	2	36.6707	0.527324	-0.0810084	0.47924	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
15	19	166	2	38.5056	0.527324	-0.00309733	0.482315	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
16	9	166	2	40.3411	0.527324	-0.00309733	0.487366	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
17	9	166	2	43.1988	0.527324	-0.237232	0.489952	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
18	6	166	2	44.8692	0.527324	0.0545192	0.494115	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
19	7	166	2	45.1903	0.527324	-0.00309733	0.496011	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
20	11	162	2	44.1517	0.527324	-0.00309733	0.496885	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
21	9	182	2	44.6438	0.527324	-0.222623	0.499155	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
22	6	174	2	46.6318	0.527324	-0.00309733	0.504137	mix(0.6276,mix(0.4737,clayton(1.764),gumbel(-2.556)),mix(0.0997,normal(-7.34),gumbel(-3.67)))
23	8	162	2	48.2016	0.527895	0.021028	0.506166	mix(0.8468,normal(0.814),mix(0.3852,mix(0.6057,mix(0.0879,frank(-3.968),gumbel(-7.142)),frank(-0.018)),mix(0.1071,clayton(-2.69),gumbel(-9.34))))
24	9	178	2	47.7477	0.527895	-0.00309733	0.50745	mix(0.8468,normal(0.814),mix(0.3852,mix(0.6057,mix(0.0879,frank(-3.968),gumbel(-7.142)),frank(-0.018)),mix(0.1071,clayton(-2.69),gumbel(-9.34))))
25	12	178	2	48.8219	0.527895	-0.350086	0.508635	mix(0.8468,normal(0.814),mix(0.3852,mix(0.6057,mix(0.0879,frank(-3.968),gumbel(-7.142)),frank(-0.018)),mix(0.1071,clayton(-2.69),gumbel(-9.34))))
26	10	194	2	48.9414	0.528333	-0.353822	0.507588	mix(0.8468,normal(0.814),mix(0.3852,mix(0.6057,mix(0.0879,mix(0.3022,mix(0.4689,normal(-5.964),mix(0.8753,mix(0.8622,normal(-6.52),mix(0.0391,gumbel(-1.976),frank(3.752))),gumbel(-0.902))),frank(1.446)),gumbel(-7.142)),frank(-0.018)),mix(0.1071,clayton(-2.69),gumbel(-9.34))))
27	10	194	2	50.0606	0.528333	-0.0842074	0.510207	mix(0.8468,normal(0.814),mix(0.3852,mix(0.6057,mix(0.0879,mix(0.3022,mix(0.4689,normal(-5.964),mix(0.8753,mix(0.8622,normal(-6.52),mix(0.0391,gumbel(-1.976),frank(3.752))),gumbel(-0.902))),frank(1.446)),gumbel(-7.142)),frank(-0.018)),mix(0.1071,clayton(-2.69),gumbel(-9.34))))
28	8	198	2	50.9476	0.528333	-0.30545	0.509453	mix(0.8468,normal(0.814),mix(0.3852,mix(0.6057,mix(0.0879,mix(0.3022,mix(0.4689,normal(-5.964),mix(0.8753,mix(0.8622,normal(-6.52),mix(0.0391,gumbel(-1.976),frank(3.752))),gumbel(-0.902))),frank(1.446)),gumbel(-7.142)),frank(-0.018)),mix(0.1071,clayton(-2.69),gumbel(-9.34))))
29	2	198	2	52.7575	0.528333	-0.188636	0.512088	mix(0.8468,normal(0.814),mix(0.3852,mix(0.6057,mix(0.0879,mix(0.3022,mix(0.4689,normal(-5.964),mix(0.8753,mix(0.8622,normal(-6.52),mix(0.0391,gumbel(-1.976),frank(3.752))),gumbel(-0.902))),frank(1.446)),gumbel(-7.142)),frank(-0.018)),mix(0.1071,clayton(-2.69),gumbel(-9.34))))
30	10	242	2	54.9616	0.529441	-0.0927443	0.512407	mix(0.8352,mix(0.9175,mix(0.8541,gumbel(2.888),mix(0.9189,clayton(-1.906),mix(0.093,frank(-9.238),mix(0.582,normal(-3.306),mix(0.0882,gumbel(-2.9),mix(0.7679,normal(5.178),mix(0.0162,gumbel(0.304),clayton(-0.182)))))))),mix(0.3159,normal(4.606),mix(0.1796,mix(0.2347,mix(0.2542,frank(7.942),normal(9.582)),mix(0.0699,mix(0.9013,mix(0.6563,clayton(9.342),clayton(-2.69)),clayton(3.552)),mix(0.6622,normal(3.936),normal(-9.21)))),clayton(-5.882)))),mix(0.2428,mix(0.9413,frank(-7.254),frank(-5.224)),mix(0.7236,mix(0.9277,mix(0.9377,clayton(2.93),frank(6.066)),mix(0.016,frank(8.85),normal(8.534))),mix(0.8605,mix(0.7719,mix(0.4162,mix(0.088,frank(-2.542),mix(0.8067,mix(0.3017,clayton(-8.738),mix(0.3453,clayton(-7.25),normal(4.378))),mix(0.1429,gumbel(-1.844),clayton(-6.574)))),frank(-4.618)),mix(0.7935,mix(0.0489,mix(0.0175,normal(3.286),frank(-4.428)),gumbel(-2.584)),mix(0.5961,frank(1.828),clayton(-1.238)))),frank(-4.428)))))
