CASEID_0	CODER_1	EVENT_ID_2	YEAR_3	MONTH_4	DAY_5	APPROXIMATE_DATE_6	EXTENDED_INCID_7	DATE_RESOLUTION_8	REGION_10	VICINITY__13	LOCATIONA_14	LOCATIONB_15	GEO_CODES_16	GEO_CODES0_17	INCID_SUMMARYA_18	INCID_SUMMARYB_19	INCID_SUMMARYC_20	INCID_SUMMARYD_21	INCID_SUMMARYE_22	INCID_SUMMARYF_23	INCID_SUMMARYG_24	INCID_SUMMARYH_25	CRITERION1_26	CRITERION2_27	CRITERION3_28	DOUBT_TERRORISM_29	ALT_DESIGNATION_30	MULT_INCIDENT_31	MULTI_PARTY_32	SUCCESSFUL_33	SUICIDE_ATTACK__34	ATTACK_TYPE_35	ATTACK_TYPE0_36	ADD_ATTACK_TYPE_37	SEC_ATTACK_TYPE_38	SEC_ATTACK_TYPE0_39	TRD_ATTACK_TYPE_40	TRD_ATTACK_TYPE0_41	TARGET_TYPE_42	TARGET_ENTITY_43	NAME_OF_ENTITY_44	SPECIFIC_TARGETA_45	SPECIFIC_TARGETB_46	ADD_TARGETS_48	SEC_TARGET_TYPE_49	SEC_TARGETENTITY_50	SEC_ENTITY_NAME_51	SEC_SPEC_TARGET_52	SEC_NATIONALITY_53	TRD_TARGET_TYPE_54	TRD_TARGETENTITY_55	TRD_ENTITY_NAME_56	TRD_SPEC_TARGET_57	TRD_NATIONALITY_58	PERP_IND_NAMES_60	PERP_GTYPE_61	PERP_GSTYPE_62	IDEO_INFLU_63	ADD_PERP_GROUP_64	SEC_PERP_GNAME_65	SEC_PERP_GTYPE_66	SEC_PERP_GSTYPE_67	SEC_IDEO_INFLU_68	TRD_PERP_GNAME_69	TRD_PERP_GTYPE_70	TRD_PERP_GSTYPE_71	TRD_IDEO_INFLU_72	SPEC_MOTIVEA_73	SPEC_MOTIVEB_74	SPEC_MOTIVEC_75	SUSP_UNCONFIRM_76	NUM_PERPS_77	NUM_MALE_PERPS_78	NUM_FEMALE_PERPS_79	NUM_PERPS_CAPT_80	CLAIM_RESP_81	MODE_CLAIM_82	CLAIM_CONFIRMED__83	ADD_CLAIM_RESP_84	SEC_CLAIM_RESP_85	SEC_MODE_CLAIM_86	SEC_CLAIMCONFIRM_87	TRD_CLAIM_RESP_88	TRD_MODE_CLAIM_89	TRD_CLAIMCONFIRM_90	COMPETING_91	WEAPON_TYPE_92	WEAPON_SUB_TYPE_93	ADD_WEAPONS_94	SEC_WEAPON_TYPE_95	SEC_WEAPON_STYPE_96	TRD_WEAPON_TYPE_97	TRD_WEAPON_STYPE_98	WEAPON_DETAILSA_99	WEAPON_DETAILSB_100	WEAPON_DETAILSC_101	NUM_FATAL_102	NUM_US_FATAL_103	NUM_PERP_FATAL_104	NUM_INJUR_105	NUM_US_INJUR_106	NUM_PERPS_INJUR_107	PSYCHOSOCIAL_108	PROPERTY_DAMAGE__109	EXTENT_PDAMAGE_110	VALUE_PDAMAGE_111	PDAMAGE_COMMENTA_112	PDAMAGE_COMMENTB_113	PDAMAGE_COMMENTC_114	PDAMAGE_COMMENTD_115	PDAMAGE_COMMENTE_116	HOST_KIDNAP_117	NUM_KIDNAP_HOS_118	NUM_USKIDNAP_HOS_119	HOURS_120	DAYS_121	DIVERTED_122	RESOLUTION_123	RANSOM_DEMANDED__124	AMNT_DEMAND_125	AMNT_DEMAND_US_126	AMNT_PAIDA_127	AMNT_PAIDB_128	AMNT_PAID_US_129	RANSOM_NOTESA_130	RANSOM_NOTESB_131	OUTCOME_132	NUM_REL_ESC_RES_133	ADD_NOTESA_134	ADD_NOTESB_135	ADD_NOTESC_136	ADD_NOTESD_137	ADD_NOTESE_138	ADD_NOTESF_139	ADD_NOTESG_140	ADD_NOTESH_141	NAME_OF_SOURCE_142	SOURCE_PUB_DATE_143	FULL_CITATIONA_144	FULL_CITATIONB_145	NAME_SEC_SOURCE_146	SEC_PUB_DATE_147	SEC_FULL_CITA_148	SEC_FULL_CITB_149	NAME_TRD_SOURCE_150	TRD_PUB_DATE_151	TRD_FULL_CITA_152	TRD_FULL_CITB_153	PREVAILING_154
1	97	2.00401e+011	2004	1	10	0	0	0	0	0	0	0	-999	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	84	2.00412e+011	2004	12	2	0	0	0	1	1	1	0	-999	-999	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	1	-99	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	15	0	-99	-99	0	-99	1	1	1	0	1	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38323	0	0	0	0	0	0	0	0	0	0	0
3	97	2.00401e+011	2004	1	2	0	0	0	1	1	1	0	-999	-999	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-99	-99	-99	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	-99	1	-99	-99	1	-99	0	1	2	0	1	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0
4	88	2.0041e+011	2004	10	3	0	0	0	1	0	0	0	-999	-999	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	0	0	1	2	1	0	1	2	1	0	0
5	22	2.00112e+011	2001	12	17	0	0	0	2	0	0	0	-999	-999	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-99	-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	2	1	0	-99	0	1	1	0	0	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
6	10	1.99804e+011	1998	4	2	0	1	1	3	0	0	0	43.0911	40.6989	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	1	2	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	1	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	-99	0	0	0	1	3	0	0	0	0	0	0	1	19	-99	-9	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
7	20	1.99807e+011	1998	7	12	0	0	0	3	0	0	0	42.4522	41.5692	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	1	-99	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	1	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	1	3	1	0	1	3	1	0	0
8	20	1.99807e+011	1998	7	15	0	0	0	3	0	0	0	-999	-999	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	1	1	-9	-9	-9	0	-9	-9	-9	0	0	0	1	-99	-99	-99	-99	0	0	0	0	1	0	0	0	0	0	1	2	6	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	1	3	1	0	0	0	0	0	0
9	20	1.99807e+011	1998	7	22	0	1	1	3	0	0	0	42.4794	41.665	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	1	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	1	8	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-99	0	-9	1	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	7	0	0	1	3	1	0	1	3	1	0	0
10	20	1.99807e+011	1998	7	27	0	0	0	3	1	1	0	-999	-999	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	-9	-9	-9	0	-9	-9	-9	0	0	0	0	-99	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-9	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	1	3	1	0	0	0	0	0	0
