Date,Open,High,Low,Close,Volume,Adj Close
2008-10-15,25.40,26.08,23.60,23.82,118254300,23.82
2008-10-14,26.43,27.21,25.00,26.53,213923300,26.53
2008-10-13,23.78,24.31,21.65,22.79,169776400,22.79
2008-10-10,19.40,22.15,18.99,20.87,212897700,20.87
2008-10-09,23.33,24.00,19.51,19.63,197845600,19.63
2008-10-08,20.35,23.70,20.01,22.10,322727700,22.10
2008-10-07,29.65,30.24,23.77,23.77,143285000,23.77
2008-10-06,31.78,33.49,30.78,32.22,82372200,32.22
2008-10-03,37.86,38.50,34.02,34.48,71040700,34.48
2008-10-02,37.84,38.44,36.31,36.37,60475000,36.37
2008-10-01,34.57,38.50,34.22,38.13,77465900,38.13
2008-09-30,32.40,35.43,31.85,35.00,79197200,35.00
2008-09-29,36.70,36.70,30.25,30.25,102415400,30.25
2008-09-26,33.76,37.50,33.29,36.70,71964400,36.70
2008-09-25,34.07,35.50,33.52,34.37,60479300,34.37
2008-09-24,33.77,34.58,33.00,33.07,46292200,33.07
2008-09-23,34.40,35.45,32.00,33.30,54546200,33.30
2008-09-22,35.97,35.99,34.00,34.15,64641500,34.15
2008-09-19,38.54,39.50,34.41,37.48,169634200,37.48
2008-09-18,28.12,32.10,26.86,30.58,225157700,30.58
2008-09-17,28.62,29.40,26.52,27.20,174479800,27.20
2008-09-16,25.03,29.75,25.00,29.55,174575700,29.55
2008-09-15,28.23,30.11,26.55,26.55,275947400,26.55
2008-09-12,32.28,34.40,32.10,33.74,79018300,33.74
2008-09-11,30.96,33.23,30.37,33.06,93465600,33.06
2008-09-10,32.97,33.36,31.20,32.40,88138200,32.40
2008-09-09,34.30,35.10,32.30,32.52,107012300,32.52
2008-09-08,35.26,35.70,33.45,34.73,164205500,34.73
2008-09-05,30.08,32.29,29.82,32.23,85388200,32.23
2008-09-04,32.58,32.80,30.50,30.60,70001300,30.60
2008-09-03,32.21,32.99,31.55,32.96,71778400,32.96
2008-09-02,32.73,33.14,32.06,32.63,70626400,31.99
2008-08-29,30.99,31.48,30.72,31.14,40830800,30.53
2008-08-28,30.19,31.43,29.80,31.43,64508600,30.81
2008-08-27,29.17,29.84,28.79,29.65,39123300,29.07
2008-08-26,29.05,29.49,28.45,29.02,43496300,28.45
2008-08-25,29.94,30.05,28.85,28.96,41479400,28.39
2008-08-22,29.98,30.43,29.28,30.21,55439800,29.62
2008-08-21,28.65,29.35,27.98,29.04,49905900,28.47
2008-08-20,28.30,29.40,27.72,29.29,63148100,28.72
2008-08-19,28.96,29.00,27.75,28.08,71296800,27.53
2008-08-18,30.71,30.81,29.30,29.30,59555500,28.73
2008-08-15,30.50,31.50,30.26,30.70,55464900,30.10
2008-08-14,28.94,30.49,28.63,30.18,64682500,29.59
2008-08-13,30.48,30.65,28.50,28.86,98225700,28.29
2008-08-12,32.96,33.00,30.84,31.13,59264100,30.52
2008-08-11,32.18,33.98,32.02,33.38,63158700,32.73
2008-08-08,30.97,32.75,30.77,32.25,61163900,31.62
2008-08-07,32.76,33.54,31.15,31.52,77877400,30.90
2008-08-06,33.02,33.98,32.22,33.45,55622800,32.79
2008-08-05,33.28,34.20,33.05,33.58,74277800,32.92
2008-08-04,32.60,33.60,31.70,32.62,59095000,31.98
2008-08-01,33.20,33.50,31.93,33.33,58692700,32.68
2008-07-31,32.73,33.84,32.12,32.90,66288700,32.25
2008-07-30,33.38,34.50,31.99,33.61,119467100,32.95
2008-07-29,28.16,32.22,27.80,32.22,109271100,31.59
2008-07-28,29.34,30.59,27.94,28.06,73281800,27.51
2008-07-25,30.60,31.09,29.01,29.58,89735800,29.00
2008-07-24,33.67,34.00,30.48,30.64,120641100,30.04
2008-07-23,32.05,34.26,31.75,33.44,159601900,32.78
2008-07-22,27.85,33.44,27.20,32.35,139814700,31.72
2008-07-21,30.31,30.90,28.20,28.56,163781600,28.00
2008-07-18,27.46,27.99,25.60,27.49,157811600,26.95
2008-07-17,23.95,26.50,23.80,26.50,189147600,25.98
2008-07-16,19.45,22.92,19.04,22.67,191122800,22.23
2008-07-15,19.55,20.27,18.44,18.52,186221000,18.16
2008-07-14,22.80,22.94,20.05,20.15,102861100,19.75
2008-07-11,21.31,22.47,20.84,21.67,133737500,21.24
2008-07-10,21.62,23.20,21.28,22.36,112748800,21.92
2008-07-09,23.59,24.00,21.87,22.06,97149900,21.63
2008-07-08,21.56,23.67,21.12,23.54,104967400,23.08
2008-07-07,22.61,22.95,21.10,21.53,98083400,21.11
