Date,Open,High,Low,Close,Volume,Adj Close
2008-10-15,1.06,1.10,0.96,1.00,40208400,1.00
2008-10-14,1.22,1.24,1.10,1.10,46845500,1.10
2008-10-13,1.28,1.31,1.10,1.13,61332600,1.13
2008-10-10,0.82,1.08,0.80,1.08,63958000,1.08
2008-10-09,1.19,1.20,0.95,1.01,49617500,1.01
2008-10-08,1.08,1.22,1.06,1.09,60903700,1.09
2008-10-07,1.41,1.42,1.15,1.20,60802700,1.20
2008-10-06,1.12,1.31,1.03,1.29,104748500,1.29
2008-10-03,1.68,1.70,1.25,1.34,107763300,1.34
2008-10-02,1.81,1.83,1.52,1.56,62385300,1.56
2008-10-01,1.75,1.75,1.56,1.66,76851600,1.66
2008-09-30,1.79,1.80,1.50,1.53,77307300,1.53
2008-09-29,2.15,2.62,1.37,1.56,176466600,1.56
2008-09-26,1.54,2.05,1.38,1.83,190834200,1.83
2008-09-25,2.08,2.76,1.09,1.94,473459400,1.94
2008-09-24,1.83,2.00,1.40,1.74,232126000,1.74
2008-09-23,0.96,1.43,0.93,1.31,218012500,1.31
2008-09-22,0.83,0.92,0.69,0.79,76833300,0.79
2008-09-19,0.92,0.92,0.62,0.69,99639500,0.69
2008-09-18,0.52,0.58,0.43,0.49,52664100,0.49
2008-09-17,0.48,0.50,0.35,0.43,88742900,0.43
2008-09-16,0.53,0.58,0.48,0.48,47219800,0.48
2008-09-15,0.64,0.65,0.57,0.61,54316800,0.61
2008-09-12,0.77,1.12,0.70,0.74,78449000,0.74
2008-09-11,0.77,0.85,0.69,0.78,89165800,0.78
2008-09-10,1.03,1.23,0.74,0.74,331325600,0.74
2008-09-09,0.90,1.24,0.79,0.99,242856600,0.99
2008-09-08,1.91,2.05,0.65,0.73,585901400,0.73
2008-09-05,6.19,7.18,6.05,7.04,83613900,7.04
2008-09-04,7.24,7.39,6.41,6.42,69843200,6.42
2008-09-03,7.21,7.90,7.00,7.32,91454500,7.32
2008-09-02,7.50,7.58,6.33,7.43,99889400,7.43
2008-08-29,7.62,7.63,6.76,6.84,92453800,6.84
2008-08-28,7.08,7.95,6.67,7.95,126474900,7.95
2008-08-27,6.17,6.49,5.82,6.48,122092400,6.48
2008-08-26,5.37,6.25,5.27,5.62,159611200,5.62
2008-08-25,4.54,5.95,4.45,5.19,132276300,5.19
2008-08-22,5.21,5.26,4.35,5.00,139642300,5.00
2008-08-21,3.99,5.01,3.53,4.85,186005400,4.85
2008-08-20,5.99,5.99,3.95,4.40,206889100,4.40
2008-08-19,6.19,6.66,5.75,6.01,89645700,6.01
2008-08-18,7.37,7.39,6.08,6.15,97587400,6.15
2008-08-15,8.52,8.62,7.91,7.91,32179300,7.91
2008-08-14,7.73,8.30,7.65,8.23,35811600,8.23
2008-08-13,8.00,8.01,7.55,7.69,45731100,7.64
2008-08-12,8.35,8.39,8.01,8.02,40959800,7.97
2008-08-11,9.04,9.10,8.08,8.40,57673600,8.35
2008-08-08,8.34,9.76,8.10,9.05,101270700,8.99
2008-08-07,10.65,11.30,9.75,9.95,59273400,9.89
2008-08-06,11.57,12.66,11.38,11.60,58817800,11.52
2008-08-05,12.38,13.60,12.01,13.60,32863100,13.51
2008-08-04,11.90,12.00,10.91,11.83,27519100,11.75
2008-08-01,11.91,11.94,11.10,11.82,23961000,11.74
2008-07-31,11.56,12.55,11.30,11.50,35313000,11.43
2008-07-30,12.63,13.46,11.48,12.21,50897000,12.13
2008-07-29,10.52,11.60,10.24,11.60,46010700,11.52
2008-07-28,11.95,12.96,9.92,10.31,63646700,10.24
2008-07-25,12.50,12.68,10.17,11.55,76740300,11.47
2008-07-24,16.00,16.07,11.81,12.02,78433100,11.94
2008-07-23,15.50,16.99,14.00,15.00,97808700,14.90
2008-07-22,13.46,13.78,11.62,13.41,86274100,13.32
2008-07-21,15.25,18.48,14.00,14.13,106354900,14.04
2008-07-18,12.48,14.14,11.40,13.40,130962700,13.31
2008-07-17,10.54,13.99,9.63,10.93,140976100,10.86
2008-07-16,7.93,9.68,7.55,9.25,120605900,9.19
2008-07-15,8.46,8.56,6.82,7.07,202288200,7.02
2008-07-14,12.87,13.50,9.24,9.73,217121100,9.67
2008-07-11,7.16,11.89,6.68,10.25,409334900,10.18
