Date,Open,High,Low,Close,Volume,Adj Close
2008-10-15,1.19,1.24,1.10,1.14,20868500,1.14
2008-10-14,1.40,1.47,1.20,1.25,32768300,1.25
2008-10-13,1.49,1.54,1.25,1.33,38891800,1.33
2008-10-10,0.85,1.19,0.82,1.16,50996000,1.16
2008-10-09,1.25,1.26,1.01,1.03,34764400,1.03
2008-10-08,1.23,1.30,1.15,1.17,35894100,1.17
2008-10-07,1.59,1.60,1.29,1.29,39924700,1.29
2008-10-06,1.26,1.45,1.10,1.42,58317400,1.42
2008-10-03,1.87,1.91,1.49,1.49,71392600,1.49
2008-10-02,2.02,2.03,1.65,1.80,55843500,1.80
2008-10-01,1.91,1.94,1.76,1.89,46400200,1.89
2008-09-30,1.98,2.02,1.71,1.71,60130500,1.71
2008-09-29,2.35,2.45,1.50,1.80,136614000,1.80
2008-09-26,1.58,2.10,1.37,2.00,162054900,2.00
2008-09-25,2.16,2.95,1.30,1.86,336607100,1.86
2008-09-24,1.92,1.98,1.40,1.89,171422000,1.89
2008-09-23,0.97,1.50,0.93,1.32,167420600,1.32
2008-09-22,0.74,0.89,0.60,0.85,85514500,0.85
2008-09-19,0.65,0.69,0.46,0.55,94023700,0.55
2008-09-18,0.33,0.40,0.30,0.33,66740400,0.33
2008-09-17,0.31,0.32,0.25,0.27,91720100,0.27
2008-09-16,0.38,0.42,0.25,0.26,42570600,0.26
2008-09-15,0.41,1.01,0.35,0.39,50230800,0.39
2008-09-12,0.60,0.61,0.45,0.46,98762400,0.46
2008-09-11,0.64,0.72,0.55,0.59,111855600,0.59
2008-09-10,0.95,0.99,0.66,0.66,215068600,0.66
2008-09-09,0.94,1.17,0.79,0.88,180820500,0.88
2008-09-08,2.50,2.50,0.65,0.88,369750600,0.88
2008-09-05,4.80,5.14,4.65,5.10,82091400,5.10
2008-09-04,5.33,5.49,4.95,4.95,80404100,4.95
2008-09-03,5.01,5.52,4.80,5.38,138356600,5.38
2008-09-02,5.20,5.23,4.39,5.18,120913400,5.18
2008-08-29,5.05,5.05,4.35,4.51,112130000,4.51
2008-08-28,5.32,5.39,4.97,5.28,128985300,5.28
2008-08-27,4.55,4.80,4.24,4.75,155743100,4.75
2008-08-26,3.47,4.28,3.37,3.97,178294600,3.97
2008-08-25,2.62,3.53,2.54,3.29,176341500,3.29
2008-08-22,3.48,3.51,2.50,2.81,202647000,2.81
2008-08-21,2.96,3.50,2.26,3.16,146506900,3.16
2008-08-20,4.13,4.14,2.95,3.25,205625500,3.25
2008-08-19,4.55,4.74,3.94,4.17,113225500,4.17
2008-08-18,5.40,5.43,4.36,4.39,92823300,4.39
2008-08-15,6.18,6.27,5.82,5.85,34497800,5.85
2008-08-14,5.53,6.08,5.51,5.94,42719200,5.94
2008-08-13,5.35,5.59,5.10,5.55,39118200,5.55
2008-08-12,5.55,5.81,5.35,5.37,33395600,5.37
2008-08-11,6.01,6.05,5.53,5.60,41359900,5.60
2008-08-08,5.49,6.19,5.43,5.90,54595900,5.90
2008-08-07,6.43,6.45,5.70,5.89,66074800,5.89
2008-08-06,6.84,7.23,6.49,6.49,106061200,6.49
2008-08-05,8.00,8.12,7.73,8.04,54249700,8.04
2008-08-04,7.97,8.00,7.40,7.52,36125200,7.52
2008-08-01,8.35,8.45,7.87,7.98,37860300,7.98
2008-07-31,8.36,8.83,8.00,8.17,36241200,8.17
2008-07-30,9.30,9.50,8.24,8.73,57107200,8.73
2008-07-29,7.92,8.45,7.34,8.42,46848000,8.42
2008-07-28,8.71,9.14,7.50,7.72,58549600,7.72
2008-07-25,9.09,9.40,7.50,8.27,77832600,8.27
2008-07-24,11.44,11.60,8.80,8.81,73248500,8.81
2008-07-23,10.96,11.44,10.00,10.80,104022400,10.80
2008-07-22,8.18,9.95,7.00,9.70,89953000,9.70
2008-07-21,10.18,10.49,8.51,8.75,95138600,8.75
2008-07-18,9.36,9.93,8.32,9.18,169181800,9.18
2008-07-17,7.76,9.69,7.14,8.33,163691100,8.33
2008-07-16,5.93,7.29,5.67,6.83,136998300,6.83
2008-07-15,5.97,6.34,4.68,5.26,222413900,5.26
2008-07-14,8.94,9.80,6.09,7.11,263127300,7.11
2008-07-11,4.26,8.63,3.89,7.75,397024100,7.75
2008-07-10,8.45,8.99,6.75,8.00,200080700,8.00
2008-07-09,13.33,13.33,9.88,10.26,66900300,10.26
2008-07-08,12.69,14.00,11.00,13.46,56951400,13.46
2008-07-07,14.53,15.25,10.28,11.91,75000900,11.91
2008-07-03,16.13,16.44,14.35,14.50,15200500,14.50
2008-07-02,16.34,16.59,15.83,15.92,14681900,15.92
2008-07-01,16.13,16.57,15.36,16.21,24565300,16.21
2008-06-30,17.83,17.89,16.20,16.40,18824200,16.40
2008-06-27,18.42,18.85,17.29,17.85,14265500,17.85
2008-06-26,19.55,19.68,18.51,18.53,15132200,18.53
2008-06-25,20.18,21.77,19.75,20.01,14927400,20.01
2008-06-24,20.01,20.52,19.11,20.07,14615300,20.07
2008-06-23,21.90,22.25,19.87,19.99,13109500,19.99
2008-06-20,23.00,23.60,21.77,21.82,12180000,21.82
2008-06-19,23.34,23.71,22.45,23.65,10132700,23.65
2008-06-18,22.88,23.78,22.60,23.44,8574300,23.44
2008-06-17,24.00,24.23,23.26,23.44,8185000,23.44
2008-06-16,22.75,24.07,22.32,23.96,6900900,23.96
2008-06-13,22.75,23.06,21.85,23.01,8495800,23.01
2008-06-12,21.70,22.94,21.63,22.49,9830300,22.49
2008-06-11,22.31,22.38,21.29,21.62,14301100,21.37
2008-06-10,22.10,22.76,20.58,22.49,23968200,22.23
2008-06-09,24.09,24.27,22.10,22.55,14212200,22.29
2008-06-06,24.83,24.94,23.85,23.96,7981100,23.68
2008-06-05,24.13,25.29,23.64,25.29,9118800,25.00
2008-06-04,24.36,24.91,23.81,23.87,6760700,23.59
2008-06-03,25.21,25.37,24.16,24.58,6345600,24.30
2008-06-02,25.29,25.57,24.31,24.81,5815100,24.52
2008-05-30,25.92,26.29,25.35,25.42,4645000,25.13
2008-05-29,24.83,25.98,24.75,25.73,5100700,25.43
2008-05-28,24.85,25.48,24.50,25.16,8285400,24.87
2008-05-27,25.69,25.98,24.61,24.73,10645200,24.44
2008-05-23,26.02,26.27,25.58,25.73,7228600,25.43
2008-05-22,26.38,26.74,25.82,26.29,4593800,25.99
2008-05-21,26.59,26.80,25.83,26.16,7575700,25.86
2008-05-20,26.58,26.73,26.14,26.31,8518900,26.01
2008-05-19,26.95,27.95,26.61,27.01,8611700,26.70
