Date,Open,High,Low,Close,Volume,Adj Close
2008-10-15,114.45,120.71,110.79,113.15,22250100,113.15
2008-10-14,125.97,128.00,117.32,122.90,41605300,122.90
2008-10-13,98.93,115.65,91.00,111.00,45400500,111.00
2008-10-10,86.11,99.40,74.00,88.80,71312700,88.80
2008-10-09,117.75,118.94,100.00,101.35,28150500,101.35
2008-10-08,110.00,121.00,107.55,113.00,18223800,113.00
2008-10-07,127.51,127.51,112.02,115.00,17184000,115.00
2008-10-06,122.10,127.17,115.00,124.00,21368000,124.00
2008-10-03,132.84,142.00,126.94,128.00,16080700,128.00
2008-10-02,132.17,133.21,128.05,131.54,10894700,131.54
2008-10-01,127.32,135.35,124.99,134.50,13837100,134.50
2008-09-30,126.89,130.00,124.50,128.00,13129900,128.00
2008-09-29,134.49,134.62,105.00,120.70,23688500,120.70
2008-09-26,132.49,137.99,129.51,137.99,15806400,137.99
2008-09-25,134.25,137.99,128.76,135.50,19154100,135.50
2008-09-24,128.44,133.70,126.02,133.00,46611300,133.00
2008-09-23,118.89,125.95,113.01,125.05,20037600,125.05
2008-09-22,132.78,135.64,120.43,120.78,21924200,120.78
2008-09-19,142.51,144.98,116.00,129.80,43208300,129.80
2008-09-18,106.00,120.00,86.31,108.00,114379000,108.00
2008-09-17,120.80,126.60,97.78,114.50,111973100,114.50
2008-09-16,118.00,135.29,116.13,133.01,48140200,133.01
2008-09-15,142.28,151.40,130.43,135.50,42163200,135.50
2008-09-12,154.38,161.77,152.35,154.21,15622500,154.21
2008-09-11,151.36,159.42,149.87,157.03,20752800,157.03
2008-09-10,159.90,161.00,155.73,157.59,12939000,157.59
2008-09-09,167.30,168.38,160.50,161.67,12437500,161.67
2008-09-08,171.00,172.45,162.51,169.73,14981500,169.73
2008-09-05,157.77,163.71,157.72,163.24,7524100,163.24
2008-09-04,166.15,167.50,160.00,160.90,7788700,160.90
2008-09-03,163.97,167.92,162.03,167.61,6673500,167.61
2008-09-02,167.50,168.91,162.70,165.32,8212100,165.32
2008-08-29,160.56,165.00,160.27,163.97,7586300,163.97
2008-08-28,157.24,161.83,156.67,161.83,8565800,161.83
2008-08-27,154.71,155.88,153.41,155.48,6630800,155.48
2008-08-26,155.51,157.86,153.38,155.91,5995500,155.91
2008-08-25,158.59,158.66,155.11,155.71,6122500,155.71
2008-08-22,159.99,160.81,156.80,159.81,8321000,159.81
2008-08-21,155.79,158.00,152.59,156.42,14534400,156.42
2008-08-20,158.13,160.44,155.30,158.25,9374200,158.25
2008-08-19,158.49,161.75,156.90,158.00,8966300,158.00
2008-08-18,162.26,162.68,159.70,160.04,7131600,160.04
2008-08-15,167.40,167.69,162.34,163.18,8386200,163.18
2008-08-14,164.61,168.90,164.11,166.59,8660000,166.59
2008-08-13,167.00,169.40,162.40,164.90,12391300,164.90
2008-08-12,173.30,173.48,166.56,167.30,14023800,167.30
2008-08-11,176.38,183.20,175.07,178.00,8798500,178.00
2008-08-08,172.76,178.45,172.02,175.95,6634600,175.95
2008-08-07,177.22,178.50,171.15,172.33,9103100,172.33
2008-08-06,179.00,180.90,177.50,179.55,5832700,179.55
2008-08-05,178.89,180.83,175.50,180.77,8772200,180.77
2008-08-04,179.66,180.59,176.20,177.86,7551900,177.86
2008-08-01,185.00,186.00,178.66,182.00,7495400,182.00
2008-07-31,183.06,186.07,182.40,184.04,6062900,184.04
2008-07-30,184.00,186.83,180.96,186.17,9864200,186.17
2008-07-29,174.63,181.88,173.36,181.63,11149700,181.63
2008-07-28,178.94,182.28,172.23,172.90,9264500,172.90
2008-07-25,181.26,182.00,176.17,178.66,7233900,178.66
2008-07-24,188.49,188.49,179.77,180.26,8828100,179.91
2008-07-23,187.98,190.04,184.69,187.87,9871900,187.51
2008-07-22,178.46,188.04,177.30,188.04,11268100,187.67
2008-07-21,184.16,184.65,179.05,180.78,8841300,180.43
2008-07-18,183.08,183.50,178.06,182.84,11722200,182.48
2008-07-17,175.62,184.45,174.85,181.24,24819100,180.89
2008-07-16,161.21,173.27,159.15,172.86,19366400,172.52
2008-07-15,157.04,163.61,152.25,157.80,25593100,157.49
2008-07-14,167.92,168.00,158.57,158.67,15944800,158.36
2008-07-11,166.35,167.88,158.50,162.48,24827400,162.16
2008-07-10,167.51,173.30,166.25,170.16,14106200,169.83
2008-07-09,175.85,177.47,167.50,169.02,12909300,168.69
2008-07-08,171.37,176.00,166.74,174.90,16790500,174.56
2008-07-07,180.69,181.91,167.39,169.82,17013300,169.49
2008-07-03,180.30,182.36,178.26,178.89,6185400,178.54
2008-07-02,176.77,182.64,175.19,178.79,16256600,178.44
2008-07-01,173.13,177.06,170.23,175.33,13940400,174.99
2008-06-30,175.56,178.26,173.29,174.90,9373300,174.56
2008-06-27,177.01,178.28,172.29,174.56,12670600,174.22
2008-06-26,179.01,180.50,175.20,176.26,13603700,175.92
2008-06-25,183.11,187.01,183.09,183.65,10838800,183.29
2008-06-24,177.62,184.60,177.34,181.98,12663400,181.63
2008-06-23,184.60,184.60,177.01,178.59,9840000,178.24
2008-06-20,185.02,186.70,182.85,183.77,11331400,183.41
2008-06-19,183.69,186.98,181.11,186.93,10588800,186.57
2008-06-18,176.66,185.35,175.56,182.77,16222400,182.42
2008-06-17,185.04,185.89,179.14,179.44,24422900,179.09
2008-06-16,177.74,184.75,176.61,182.09,16376300,181.74
2008-06-13,169.47,178.56,169.40,178.29,14343000,177.94
2008-06-12,163.24,169.69,163.24,166.75,11767100,166.43
2008-06-11,167.00,167.25,161.21,162.40,16468500,162.08
2008-06-10,163.75,169.43,163.21,167.21,11014600,166.89
2008-06-09,170.85,172.68,163.35,165.76,12998400,165.44
2008-06-06,175.07,175.07,169.44,169.44,10559000,169.11
2008-06-05,173.21,177.44,173.19,176.60,9721900,176.26
2008-06-04,170.00,175.56,169.55,172.10,10777500,171.77
2008-06-03,173.35,173.66,167.60,170.58,13187400,170.25
2008-06-02,177.00,177.70,170.81,172.34,9847400,172.01
2008-05-30,177.80,178.86,175.85,176.41,5697400,176.07
2008-05-29,174.49,179.50,174.00,176.24,7755200,175.90
2008-05-28,174.76,175.93,172.21,174.83,7238500,174.49
2008-05-27,171.76,174.70,170.80,173.92,8420000,173.58
2008-05-23,176.01,176.50,171.23,172.64,8145500,172.30
