#Generation	Deleted programs	Maximum size	Minimum size	Average size	Maximum fitness	Minimum fitness	Average fitness	Best program
1	627	103	1	4.28657	-0.537013	-804.924	-24.8583	 sqrt( max*max_tot ) 
2	38	103	1	4.04226	-0.537013	-448.121	-14.5616	 sqrt( max*max_tot ) 
3	52	103	1	3.95426	-0.537013	-221.396	-12.2303	 sqrt( max*max_tot ) 
4	42	103	1	3.67423	-0.533757	-204.979	-10.9976	 sqrt( sigma_tot/sigma ) 
5	29	103	1	3.4841	-0.533757	-419.987	-9.44595	 sqrt( sigma_tot/sigma ) 
6	24	59	1	3.1656	-0.533757	-488.637	-8.50137	 sqrt( sigma_tot/sigma ) 
7	12	58	1	2.42251	-0.533757	-251.249	-8.10736	 sqrt( sigma_tot/sigma ) 
8	11	61	1	2.48914	-0.533757	-170.419	-8.00419	 sqrt( sigma_tot/sigma ) 
9	12	61	1	2.65278	-0.0995432	-213.829	-8.05391	  min( min/mu_tot , avg(sigma,max) ) ^  max+max + 2.906^sigma   
10	25	61	1	2.91318	-0.0995432	-248.657	-8.03965	  min( min/mu_tot , avg(sigma,max) ) ^  max+max + 2.906^sigma   
11	22	61	1	2.90018	-0.0995432	-435.598	-7.9619	  min( min/mu_tot , avg(sigma,max) ) ^  max+max + 2.906^sigma   
12	29	61	1	2.77254	-0.0995432	-358.773	-7.83503	  min( min/mu_tot , avg(sigma,max) ) ^  max+max + 2.906^sigma   
13	21	63	1	3.12376	-0.0995432	-449.896	-7.83077	  min( min/mu_tot , avg(sigma,max) ) ^  max+max + 2.906^sigma   
14	23	64	1	3.59156	-0.0943425	-484.357	-7.99578	 avg(max_tot, min_tot* avg(mu_tot,ma_sigma)  ) 
15	24	63	1	4.23717	-0.0943425	-301.705	-7.85787	 avg(max_tot, min_tot* avg(mu_tot,ma_sigma)  ) 
16	29	63	1	4.95828	-0.0912767	-392.741	-7.8702	 avg( mu_tot/max_tot ,max_tot) 
17	31	63	1	5.94704	-0.0912767	-321.395	-7.94527	 avg( mu_tot/max_tot ,max_tot) 
18	40	73	1	7.20402	-0.0912767	-715.586	-8.09563	 avg( mu_tot/max_tot ,max_tot) 
19	25	73	1	8.48732	-0.0912767	-666.173	-7.95223	 avg( mu_tot/max_tot ,max_tot) 
20	37	80	1	9.80106	-0.0912767	-347.616	-7.94126	 avg( mu_tot/max_tot ,max_tot) 
21	45	86	1	10.968	-0.0907572	-349.465	-7.73189	 mix(max_tot| sigma_t+ma_sigma , sqrt(sigma_tot) ) 
22	56	84	1	11.8917	-0.0907572	-469.226	-7.61112	 mix(max_tot| sigma_t+ma_sigma , sqrt(sigma_tot) ) 
