#Generation	Deleted programs	Maximum size	Minimum size	Average size	Maximum fitness	Minimum fitness	Average fitness	Best program
1	68	64	1	4.01395	-7.02451	-76.6304	-17.0408	 max( avg(mu_tot,sigma_tot) , mix(sigma_t|sigma_t,min) ) 
2	3	47	1	3.28485	-7.02451	-32.6502	-15.8571	 max( avg(mu_tot,sigma_tot) , mix(sigma_t|sigma_t,min) ) 
3	4	47	1	3.36847	-7.02451	-40.3338	-15.4752	 max( avg(mu_tot,sigma_tot) , mix(sigma_t|sigma_t,min) ) 
4	1	47	1	3.2983	-5.54194	-39.2371	-15.0536	  sigma_tot/-9.244 ^2 
5	5	51	1	3.13367	-5.54194	-56.6401	-14.6676	  sigma_tot/-9.244 ^2 
6	5	51	1	3.22714	-5.54194	-49.6294	-14.3334	  sigma_tot/-9.244 ^2 
7	12	51	1	3.35425	-5.54194	-30.7562	-13.77	  sigma_tot/-9.244 ^2 
8	4	51	1	3.38052	-5.54194	-32.1913	-13.4997	  sigma_tot/-9.244 ^2 
9	8	51	1	3.27218	-5.54194	-75.4852	-13.2218	  sigma_tot/-9.244 ^2 
10	8	51	1	3.37298	-4.26339	-74.074	-12.975	 avg( log(volume) , max( sigma+ sigma_t+sigma_tot  ,mu_tot) ) 
11	8	51	1	3.65625	-4.25718	-58.7112	-12.7335	 avg(max, avg( exp( sqrt( sqrt(  log(8.886) +max_tot ) ) ) ,max_tot) ) 
12	7	51	1	3.46727	-4.25718	-53.3456	-12.3776	 avg(max, avg( exp( sqrt( sqrt(  log(8.886) +max_tot ) ) ) ,max_tot) ) 
13	12	36	1	3.03138	-3.3605	-27.3131	-12.0481	 avg( avg(sigma_tot, min(max_tot,max_tot) ) , sqrt(min) ) 
14	9	36	1	2.9001	-3.3605	-61.9231	-12.0184	 avg( avg(sigma_tot, min(max_tot,max_tot) ) , sqrt(min) ) 
15	8	36	1	3.0756	-3.3605	-36.1178	-11.9606	 avg( avg(sigma_tot, min(max_tot,max_tot) ) , sqrt(min) ) 
16	12	36	1	3.17409	-3.3605	-56.2928	-11.8562	 avg( avg(sigma_tot, min(max_tot,max_tot) ) , sqrt(min) ) 
17	6	29	1	2.6992	-3.3605	-76.1216	-11.8435	 avg( avg(sigma_tot, min(max_tot,max_tot) ) , sqrt(min) ) 
18	7	19	1	2.59214	-3.35807	-56.637	-11.7578	  mu_tot^2 + exp(mu_tot)  
19	8	19	1	2.79234	-3.35807	-23.5409	-11.6513	  mu_tot^2 + exp(mu_tot)  
20	8	19	1	3.01008	-3.35807	-60.3596	-11.6118	  mu_tot^2 + exp(mu_tot)  
21	7	19	1	3.19235	-3.35807	-35.4286	-11.6167	  mu_tot^2 + exp(mu_tot)  
22	2	21	1	3.50501	-3.35807	-24.9218	-11.5574	  mu_tot^2 + exp(mu_tot)  
