#Generation	Deleted programs	Maximum size	Minimum size	Average size	Maximum fitness	Minimum fitness	Average fitness	Best program
1	78	60	1	4.06291	-1.82658	-24.4578	-14.1968	 max( 1.502/0.382 ,8.288) 
2	4	60	1	4.04317	-1.82658	-20.9456	-13.7064	 max( 1.502/0.382 ,8.288) 
3	1	60	1	3.64565	-1.82658	-24.5287	-13.0741	 max( 1.502/0.382 ,8.288) 
4	7	60	1	3.69486	-1.82658	-17.6136	-12.4707	 max( 1.502/0.382 ,8.288) 
5	6	61	1	4.05936	-1.82658	-20.6198	-11.7768	 max( 1.502/0.382 ,8.288) 
6	3	60	1	4.25978	-1.82658	-20.663	-11.0114	 max( 1.502/0.382 ,8.288) 
7	1	66	1	4.6036	-1.80142	-18.3174	-10.3085	8.394
8	5	60	1	4.73065	-1.80142	-18.895	-9.6935	8.394
9	7	60	1	5.07956	-1.80142	-20.6234	-9.2833	8.394
10	7	63	1	5.2709	-1.80142	-18.638	-8.92974	8.394
11	7	63	1	5.00302	-1.80142	-18.0467	-8.60139	8.394
12	4	58	1	4.39357	-1.80142	-18.3937	-8.53415	8.394
13	5	58	1	3.53166	-1.80142	-17.9756	-8.41018	8.394
14	1	58	1	2.96096	-1.80142	-18.1568	-8.26621	8.394
15	1	51	1	2.51752	-1.80142	-18.818	-8.30691	8.394
16	0	51	1	2.761	-1.80142	-18.2149	-8.11726	8.394
17	2	28	1	2.62525	-1.80142	-18.5068	-8.01877	8.394
18	1	34	1	2.46446	-1.80142	-18.6501	-7.96127	8.394
19	1	28	1	2.52653	-0.206758	-17.9811	-7.77811	 avg(max_tot, sigma_t^2 ) 
20	1	29	1	2.62462	-0.206758	-18.9879	-7.66709	 avg(max_tot, sigma_t^2 ) 
21	3	29	1	2.82849	-0.206758	-19.0359	-7.51146	 avg(max_tot, sigma_t^2 ) 
22	2	29	1	3.13727	-0.206758	-17.6407	-7.44146	 avg(max_tot, sigma_t^2 ) 
23	7	30	1	3.30816	-0.206758	-18.8919	-7.2298	 avg(max_tot, sigma_t^2 ) 
24	1	30	1	3.3984	-0.206758	-17.6027	-7.00147	 avg(max_tot, sigma_t^2 ) 
25	0	31	1	3.489	-0.206758	-18.6033	-6.75588	 avg(max_tot, sigma_t^2 ) 
26	2	35	1	3.6483	-0.206758	-17.9613	-6.64622	 avg(max_tot, sigma_t^2 ) 
27	5	30	1	3.75779	-0.206758	-17.8266	-6.41008	 avg(max_tot, sigma_t^2 ) 
28	1	31	1	4.17217	-0.206758	-18.5921	-6.3486	 avg(max_tot, sigma_t^2 ) 
29	4	34	1	4.3012	-0.206758	-18.0132	-6.35113	 avg(max_tot, sigma_t^2 ) 
30	1	34	1	4.59059	-0.206758	-18.2273	-6.1999	 avg(max_tot, sigma_t^2 ) 
